iter	Passed	Remaining
0	4	432
1	6	342
2	9	293
3	11	269
4	12	242
5	14	220
6	15	208
7	17	196
8	18	186
9	19	177
10	20	168
11	22	165
12	24	165
13	26	160
14	27	153
15	27	146
16	28	140
17	29	135
18	30	130
19	31	126
20	32	122
21	33	118
22	34	114
23	35	111
24	36	109
25	39	111
26	40	108
27	41	105
28	42	103
29	43	100
30	44	97
31	44	95
32	45	93
33	46	90
34	49	91
35	51	90
36	52	88
37	53	86
38	54	84
39	55	83
40	56	81
41	57	78
42	58	77
43	59	75
44	60	73
45	61	71
46	65	73
47	66	71
48	67	69
49	68	68
50	69	66
51	70	64
52	71	63
53	71	61
54	72	59
55	73	57
56	74	56
57	75	54
58	76	52
59	77	51
60	79	50
61	81	49
62	82	48
63	82	46
64	83	45
65	84	43
66	85	42
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	98	34
74	99	33
75	100	31
76	101	30
77	101	28
78	102	27
79	103	25
80	104	24
81	105	23
82	106	21
83	109	20
84	110	19
85	111	18
86	116	17
87	124	17
88	127	15
89	129	14
90	131	12
91	133	11
92	137	10
93	138	8
94	140	7
95	141	5
96	142	4
97	143	2
98	144	1
99	145	0
